iter	RMSE
0	2.474969438
1	2.471885969
2	2.469650653
3	2.466955222
4	2.465221057
5	2.462862614
6	2.461185739
7	2.459273594
8	2.457317671
9	2.455228394
10	2.454204925
11	2.451562366
12	2.449422467
13	2.447601383
14	2.445926501
15	2.444218103
16	2.442895896
17	2.440849811
18	2.440236704
19	2.439129418
20	2.437938369
21	2.436340682
22	2.434858547
23	2.432679458
24	2.431074797
25	2.42953527
26	2.428467285
27	2.427237003
28	2.426298117
29	2.425459016
30	2.424596131
31	2.423695895
32	2.422665828
33	2.421044341
34	2.41967164
35	2.418375901
36	2.416992229
37	2.415807539
38	2.414827186
39	2.413747428
40	2.412732247
41	2.411423409
42	2.410508502
43	2.408838078
44	2.408097055
45	2.407121041
46	2.406312149
47	2.405461262
48	2.404267784
49	2.403354358
50	2.402166614
51	2.40137841
52	2.400225903
53	2.399482405
54	2.399369358
55	2.398691863
56	2.397771697
57	2.396971244
58	2.396258488
59	2.395051008
60	2.394202418
61	2.393554147
62	2.392446261
63	2.391734316
64	2.390763345
65	2.390072616
66	2.389496449
67	2.389128153
68	2.388731339
69	2.388151394
70	2.387519537
71	2.386967737
72	2.386235054
73	2.38503872
74	2.384542254
75	2.383958808
76	2.383300159
77	2.382897053
78	2.382053632
79	2.381345281
80	2.380846369
81	2.379841393
82	2.378969388
83	2.37867945
84	2.378139205
85	2.377594105
86	2.377098566
87	2.376396158
88	2.375817828
89	2.375085218
90	2.373918991
91	2.373438543
92	2.373040643
93	2.37247853
94	2.371967148
95	2.37154721
96	2.370856207
97	2.370555039
98	2.370012175
99	2.369391129
100	2.368660464
101	2.36841978
102	2.367767628
103	2.367425623
104	2.367086363
105	2.366307261
106	2.36583467
107	2.365024732
108	2.364521882
109	2.364334677
110	2.363815542
111	2.36325761
112	2.362934508
113	2.362678636
114	2.36225164
115	2.36188395
116	2.361148567
117	2.360760969
118	2.3605004
119	2.360114562
120	2.359900655
121	2.359629023
122	2.359163932
123	2.358779193
124	2.35829144
125	2.357823018
126	2.357656567
127	2.357289151
128	2.356904055
129	2.356344841
130	2.356040265
131	2.355387273
132	2.354872879
133	2.354590478
134	2.354163139
135	2.353838881
136	2.353573948
137	2.353364183
138	2.35308661
139	2.35284192
140	2.352436774
141	2.352068183
142	2.351690366
143	2.351251092
144	2.351008989
145	2.350677047
146	2.34996318
147	2.349667258
148	2.349260314
149	2.348913899
150	2.34869499
151	2.348393991
152	2.348266652
153	2.347930633
154	2.347707678
155	2.347404706
156	2.347048481
157	2.34666894
158	2.346153962
159	2.345697047
160	2.345694869
161	2.345296883
162	2.344989585
163	2.344601351
164	2.344258131
165	2.344219398
166	2.343808519
167	2.343544754
168	2.343106855
169	2.342755303
170	2.34241725
171	2.341954353
172	2.341638726
173	2.341349519
174	2.341058862
175	2.340816068
176	2.340575852
177	2.340341925
178	2.339982463
179	2.339783689
180	2.339620931
181	2.339481585
182	2.339201261
183	2.338957885
184	2.338669811
185	2.338301873
186	2.337885877
187	2.337591805
188	2.337369901
189	2.337096698
190	2.336799754
191	2.336534121
192	2.336318615
193	2.336082038
194	2.335737563
195	2.335365863
196	2.335120356
197	2.335024461
198	2.334834409
199	2.334660858
200	2.334472448
201	2.334354346
202	2.334124033
203	2.333825301
204	2.33362912
205	2.333420119
206	2.333186463
207	2.332968143
208	2.332838614
209	2.332663392
210	2.332381643
211	2.332176704
212	2.331990584
213	2.331786035
214	2.331754258
215	2.3315846
216	2.331262309
217	2.331041515
218	2.330777827
219	2.33061217
220	2.330389874
221	2.330093568
222	2.329940112
223	2.329733735
224	2.329512799
225	2.329187829
226	2.328965691
227	2.328844186
228	2.328635161
229	2.328508213
230	2.328348987
231	2.328192148
232	2.327994973
233	2.327739973
234	2.327585507
235	2.327396939
236	2.3271431
237	2.327016722
238	2.326834272
239	2.326568421
240	2.326449014
241	2.326232928
242	2.3260126
243	2.325821845
244	2.325695498
245	2.325461932
246	2.325250133
247	2.324977272
248	2.324693631
249	2.324479618
250	2.324397897
251	2.324205729
252	2.324048739
253	2.323771408
254	2.323582015
255	2.323459541
256	2.323295706
257	2.323166325
258	2.323030139
259	2.322839537
260	2.322619485
261	2.322464403
262	2.322248432
263	2.322054768
264	2.321879343
265	2.321691842
266	2.321511448
267	2.321410463
268	2.321254026
269	2.321050616
270	2.320869029
271	2.320715009
272	2.320580519
273	2.320370622
274	2.320257753
275	2.320051681
276	2.3198995
277	2.319738347
278	2.319555647
279	2.319411711
280	2.319318567
281	2.319157518
282	2.319019589
283	2.318849646
284	2.318732156
285	2.318605207
286	2.318500928
287	2.318360792
288	2.318218955
289	2.318105556
290	2.31798914
291	2.317780299
292	2.317638708
293	2.317506106
294	2.317380448
295	2.317246188
296	2.317127268
297	2.31701346
298	2.316893823
299	2.316766082
300	2.316665059
301	2.316526259
302	2.316391113
303	2.316243434
304	2.316153506
305	2.316071745
306	2.315957443
307	2.315867134
308	2.315763909
309	2.315673242
310	2.315607853
311	2.315530262
312	2.31543567
313	2.315296027
314	2.315208289
315	2.315119022
316	2.315034204
317	2.314935648
318	2.314853685
319	2.314774719
320	2.314652688
321	2.314560646
322	2.314476028
323	2.314361223
324	2.314296874
325	2.314220696
326	2.314143176
327	2.314030602
328	2.313951974
329	2.313843489
330	2.31376306
331	2.313684937
332	2.313626417
333	2.313542452
334	2.313472478
335	2.313374749
336	2.313296333
337	2.313212284
338	2.313124242
339	2.313048401
340	2.312982683
341	2.31290041
342	2.312845095
343	2.312774463
344	2.312633155
345	2.312559782
346	2.312497725
347	2.312433962
348	2.312355674
349	2.312296292
350	2.31222709
351	2.312182882
352	2.312092314
353	2.312013675
354	2.311974589
355	2.31190667
356	2.311864057
357	2.311819193
358	2.311753446
359	2.311679573
360	2.311622302
361	2.311554686
362	2.311501165
363	2.311432584
364	2.311382359
365	2.311322689
366	2.31125916
367	2.311202247
368	2.311151868
369	2.311113824
370	2.311066352
371	2.31102194
372	2.31095692
373	2.310895596
374	2.310843016
375	2.310788613
376	2.31072852
377	2.310683625
378	2.310662642
379	2.310618004
380	2.310571427
381	2.310523236
382	2.310479944
383	2.310433055
384	2.310399056
385	2.310369558
386	2.31030416
387	2.310267487
388	2.31022896
389	2.310198721
390	2.310143544
391	2.310102414
392	2.310060315
393	2.310000925
394	2.309942637
395	2.309904185
396	2.309884789
397	2.309836356
398	2.309809817
399	2.309774859
400	2.309741753
401	2.309688814
402	2.309647439
403	2.30960067
404	2.309571909
405	2.309541016
406	2.309482826
407	2.309451956
408	2.309418441
409	2.30938316
410	2.309345208
411	2.309323955
412	2.309289832
413	2.309264416
414	2.309239396
415	2.30921091
416	2.309173524
417	2.309131163
418	2.309112453
419	2.309092517
420	2.309063615
421	2.309033706
422	2.309007812
423	2.308983364
424	2.308952789
425	2.308933099
426	2.308906998
427	2.308880355
428	2.308849456
429	2.308818498
430	2.308787825
431	2.308758281
432	2.308728947
433	2.308707357
434	2.308690302
435	2.308658602
436	2.308625796
437	2.308600814
438	2.308562153
439	2.30852534
440	2.30848907
441	2.308471451
442	2.308441981
443	2.308410902
444	2.308385019
445	2.308347966
446	2.308317205
447	2.308286038
448	2.308266791
449	2.308237787
450	2.308220568
451	2.30818803
452	2.308174147
453	2.308156611
454	2.308138331
455	2.308109981
456	2.308083047
457	2.308052589
458	2.308023959
459	2.308003103
460	2.307983495
461	2.307964387
462	2.307942472
463	2.307918009
464	2.307894293
465	2.307874656
466	2.307847015
467	2.307827156
468	2.307808507
469	2.307776231
470	2.307747628
471	2.307724797
472	2.307691252
473	2.307675991
474	2.307648198
475	2.307628977
476	2.307607578
477	2.307585529
478	2.307564581
479	2.307552716
480	2.307536112
481	2.307523251
482	2.307495336
483	2.307479445
484	2.307463448
485	2.307436594
486	2.307410984
487	2.307402658
488	2.307391037
489	2.307381095
490	2.307368562
491	2.307351305
492	2.307327108
493	2.307313622
494	2.307293706
495	2.307273419
496	2.307259769
497	2.307243306
498	2.307237831
499	2.307229886
500	2.307220496
501	2.307194944
502	2.307174831
503	2.307154736
504	2.307143333
505	2.307128671
506	2.30711682
507	2.307102792
508	2.307088879
509	2.307075636
510	2.307056001
511	2.307047015
512	2.307034107
513	2.30702545
514	2.307014149
515	2.307001857
516	2.306986679
517	2.306970354
518	2.306956792
519	2.306945361
520	2.306932414
521	2.306920252
522	2.306911467
523	2.306897212
524	2.306880368
525	2.306859092
526	2.306850151
527	2.306835828
528	2.306821572
529	2.306813158
530	2.306797883
531	2.306788346
532	2.306779827
533	2.306758353
534	2.306741882
535	2.306723815
536	2.306713634
537	2.306705221
538	2.306687156
539	2.306682184
540	2.306669074
541	2.306660851
542	2.306640693
543	2.306628526
544	2.306622336
545	2.306613644
546	2.306607516
547	2.306602014
548	2.30659493
549	2.306582867
550	2.30656886
551	2.306553949
552	2.306548587
553	2.306543009
554	2.306534816
555	2.306524486
556	2.306513826
557	2.306500778
558	2.306494819
559	2.306482811
560	2.30646952
561	2.306463262
562	2.306455905
563	2.306447593
564	2.306438595
565	2.306432737
566	2.306423451
567	2.30641768
568	2.306407145
569	2.306395611
570	2.306388319
571	2.306377773
572	2.306367757
573	2.30635962
574	2.306355625
575	2.306350451
576	2.306341524
577	2.306336597
578	2.3063306
579	2.306323333
580	2.306311365
581	2.306305979
582	2.306302369
583	2.306298661
584	2.306291808
585	2.306285323
586	2.306278344
587	2.306274803
588	2.306263439
589	2.306255556
590	2.306251996
591	2.306243685
592	2.306240069
593	2.306233095
594	2.306224977
595	2.306217194
596	2.306213183
597	2.306202971
598	2.306190344
599	2.306185678
600	2.306174703
601	2.306170237
602	2.306166619
603	2.306157674
604	2.30614708
605	2.30614351
606	2.306139242
607	2.306133563
608	2.306122373
609	2.306118119
610	2.306113328
611	2.306104749
612	2.306099184
613	2.306090766
614	2.306085067
615	2.306080763
616	2.306076193
617	2.306067468
618	2.306060349
619	2.306052364
620	2.306043754
621	2.306038634
622	2.306033358
623	2.306030152
624	2.306021995
625	2.30601609
626	2.306010495
627	2.306002859
628	2.305997153
629	2.305992895
630	2.305984399
631	2.305976145
632	2.305970842
633	2.305964607
634	2.305962135
635	2.305955177
636	2.305951544
637	2.305947257
638	2.305942767
639	2.305933747
640	2.305931075
641	2.305927666
642	2.305921474
643	2.305917433
644	2.305911273
645	2.30590715
646	2.305904821
647	2.305901143
648	2.305896922
649	2.305893815
650	2.305891474
651	2.305886846
652	2.305881466
653	2.305875797
654	2.305872561
655	2.305863027
656	2.305860337
657	2.305855372
