iter	Passed	Remaining
0	1	1074
1	2	1140
2	3	1112
3	4	1085
4	5	1054
5	6	1154
6	8	1204
7	9	1235
8	11	1244
9	12	1246
10	13	1251
11	15	1247
12	16	1226
13	17	1232
14	19	1264
15	21	1293
16	22	1292
17	23	1308
18	24	1278
19	25	1266
20	27	1261
21	28	1259
22	29	1248
23	30	1251
24	31	1239
25	32	1224
26	33	1213
27	34	1204
28	35	1187
29	36	1188
30	38	1191
31	39	1187
32	40	1174
33	40	1161
34	41	1157
35	42	1148
36	43	1137
37	44	1130
38	45	1119
39	46	1110
40	47	1105
41	48	1099
42	48	1089
43	49	1079
44	50	1071
45	52	1083
46	53	1090
47	54	1080
48	55	1073
49	56	1067
50	57	1070
51	58	1064
52	59	1058
53	60	1051
54	60	1036
55	61	1035
56	62	1034
57	63	1034
58	64	1033
59	66	1035
60	67	1036
61	68	1041
62	70	1044
63	72	1055
64	73	1056
65	74	1057
66	76	1063
67	77	1066
68	78	1060
69	79	1061
70	80	1057
71	81	1053
72	82	1052
73	84	1054
74	85	1055
75	86	1052
76	87	1048
77	88	1043
78	89	1040
79	90	1041
80	91	1040
81	92	1035
82	93	1031
83	94	1028
84	95	1024
85	95	1019
86	96	1017
87	98	1020
88	99	1016
89	100	1018
90	101	1014
91	102	1010
92	103	1007
93	104	1003
94	104	999
95	105	996
96	106	992
97	108	994
98	109	996
99	110	994
100	111	995
101	112	994
102	114	998
103	115	995
104	116	995
105	118	996
106	119	999
107	120	998
108	122	999
109	123	996
110	124	994
111	124	990
112	125	985
113	126	982
114	127	979
115	128	975
116	129	975
117	130	975
118	131	970
119	132	968
120	132	965
121	133	964
122	134	961
123	135	958
124	136	954
125	137	953
126	137	948
127	138	945
128	139	942
129	140	939
130	141	938
131	142	935
132	143	936
133	144	936
134	145	934
135	146	932
136	147	929
137	148	928
138	149	925
139	150	923
140	151	922
141	152	920
142	153	917
143	154	915
144	155	915
145	156	917
146	157	915
147	159	915
148	160	915
149	161	915
150	162	915
151	163	914
152	164	910
153	165	911
154	167	910
155	168	911
156	169	912
157	170	910
158	171	907
159	172	905
160	172	899
161	173	897
162	174	896
163	175	896
164	176	894
165	177	890
166	178	888
167	179	886
168	179	884
169	181	885
170	182	884
171	183	882
172	184	879
173	184	877
174	185	875
175	186	873
176	187	871
177	188	869
178	189	867
179	190	868
180	191	868
181	192	866
182	193	864
183	194	863
184	195	862
185	197	862
186	197	860
187	198	858
188	199	856
189	201	856
190	202	856
191	203	855
192	204	855
193	205	854
194	206	853
195	207	851
196	208	850
197	209	848
198	210	847
199	211	845
200	212	844
201	213	842
202	214	841
203	215	840
204	216	837
205	216	835
206	217	833
207	218	830
208	218	828
209	220	827
210	221	826
211	221	824
212	222	822
213	223	820
214	223	816
215	224	814
216	225	812
217	225	810
218	226	808
219	227	805
220	228	803
221	228	801
222	229	799
223	230	797
224	230	795
225	231	793
226	232	791
227	233	789
228	233	787
229	235	788
230	236	787
231	237	787
232	238	785
233	239	783
234	240	781
235	241	780
236	241	778
237	242	775
238	243	773
239	243	771
240	244	769
241	245	768
242	246	766
243	247	765
244	248	764
245	249	764
246	250	764
247	252	764
248	253	763
249	254	762
250	255	762
251	256	761
252	257	759
253	258	758
254	259	756
255	259	755
256	260	753
257	261	751
258	262	749
259	262	748
260	263	746
261	264	744
262	265	743
263	266	741
264	266	739
265	267	738
266	268	736
267	268	734
268	269	732
269	270	730
270	271	729
271	271	727
272	272	725
273	273	724
274	273	722
275	274	720
276	275	718
277	276	717
278	276	715
279	277	713
280	278	712
281	279	710
282	280	709
283	280	708
284	281	706
285	282	705
286	283	703
287	284	702
288	284	700
289	285	698
290	286	697
291	286	695
292	287	693
293	288	692
294	289	690
295	289	689
296	290	687
297	291	687
298	292	685
299	293	684
300	294	684
301	295	683
302	296	682
303	297	681
304	298	679
305	299	679
306	300	678
307	301	677
308	302	677
309	304	676
310	305	675
311	305	674
312	306	672
313	307	671
314	307	669
315	308	668
316	309	666
317	310	666
318	311	665
319	312	663
320	313	662
321	313	660
322	314	659
323	315	658
324	316	656
325	316	655
326	317	653
327	318	652
328	319	651
329	319	649
330	320	648
331	321	646
332	322	645
333	322	643
334	323	642
335	324	641
336	325	640
337	326	639
338	327	637
339	327	636
340	328	634
341	329	633
342	330	632
343	330	630
344	331	629
345	332	627
346	332	626
347	333	625
348	334	623
349	335	622
350	336	622
351	337	621
352	338	621
353	340	620
354	341	620
355	342	619
356	343	618
357	344	617
358	345	616
359	346	615
360	347	614
361	348	613
362	349	613
363	350	612
364	351	610
365	351	609
366	352	608
367	353	606
368	354	605
369	354	604
370	356	603
371	356	602
372	357	601
373	358	599
374	359	598
375	359	596
376	360	595
377	361	594
378	361	592
379	362	591
380	363	590
381	364	588
382	364	587
383	365	586
384	366	585
385	366	583
386	367	582
387	368	580
388	369	579
389	370	578
390	371	578
391	372	577
392	372	576
393	373	574
394	374	573
395	375	572
396	376	571
397	376	569
398	377	568
399	378	567
400	378	565
401	379	564
402	380	563
403	381	562
404	382	561
405	382	560
406	383	559
407	385	558
408	386	558
409	387	557
410	388	556
411	389	555
412	390	554
413	391	553
414	392	552
415	393	552
416	394	551
417	395	550
418	395	548
419	396	547
420	397	546
421	397	544
422	398	543
423	399	542
424	400	541
425	400	540
426	401	539
427	402	537
428	403	536
429	404	535
430	404	534
431	405	532
432	406	531
433	406	530
434	407	529
435	408	527
436	408	526
437	409	525
438	410	524
439	410	522
440	411	521
441	412	520
442	412	519
443	413	517
444	414	516
445	415	515
446	416	514
447	416	513
448	417	512
449	418	511
450	418	509
451	419	508
452	420	507
453	420	506
454	421	504
